270,L oreal Gentle Lip and Eye Remover for Waterproof Make-up 125ml,L'Oreal Paris,โลชั่นทำความสะอาดผิวรอบดวงตาและริมฝีปาก ขจัดคราบเครื่องสำอางและสิ่งสกปรกอย่างล้ำลึก เพื่อผิวสะอาดหมดจด ไร้สิ่งตกค้าง,http://www.konvy.com/static/team/2015/1209/14496524714628.jpg,skin protection
271,L oreal UV Perfect Advanced Instant White Long UVA SPF50+/PA++++ 30ml,L'Oreal Paris,ครีมกันแดดสูตรคงประสิทธิภาพการปกป้องยาวนาน 12 ชั่วโมง เนื้อครีมสีชมพูกุหลาบประกายมุก ปรับสีผิวให้ดูกระจ่างใสเปล่งประกาย,http://www.konvy.com/static/team/2016/0127/14538836185264.jpg,skin protection
272,L oreal UV Perfect Aqua Essence Long UVA SPF50/PA+++ 30ml,L'Oreal Paris,ครีมกันแดดสูตรคงประสิทธิภาพการปกป้องยาวนาน 12 ชั่วโมง เนื้อสัมผัสบางเบาสบายผิวดุจน้ำ ปกป้องและลดเลือนริ้วรอยอย่างเต็มประสิทธิภาพ,http://www.konvy.com/static/team/2016/0121/14533601184249.jpg,skin protection
273,L oreal White Perfect Night Cream 50ml,L'Oreal Paris,ครีมบำรุงผิวสูตรกลางคืน ด้วยคุณค่าการบำรุงจาก Tourmarine Gemstone อัญมณีสีชมพู ช่วยลดเลือนจุดด่างดำ เผยผิวสว่างสดใสในยามเช้า,http://www.konvy.com/static/team/2016/0127/14538835243662.jpg,skin protection
274,L oreal White Perfect Facial Foam 100ml,L'Oreal Paris,โฟมล้างหน้าสูตรน้ำนม ขจัดคราบเครื่องสำอางและสิ่งสกปรกอย่างหมดจดในขั้นตอนเดียว ผสานคุณค่าจากอัญมณีสีชมพู ช่วยลดความหมองคล้ำ เผยผิวเปล่งประกายสดใสเป็นธรรมชาติ,http://www.konvy.com/static/team/2016/0115/14528512049346.jpg,skin protection
275,L oreal Gentle Cleansing Milk 200ml,L'Oreal Paris,โลชั่นน้ำนมสำหรับเช็ดเครื่องสำอาง ช่วยทำความสะอาดผิวอย่างหมดจดเกลี้ยงเกลาและอ่อนโยน มอบสัมผัสเย็นสบาย ช่วยรักษาระดับความชุ่มชื่นภายในผิว,http://www.konvy.com/static/team/2016/0115/14528518618090.jpg,skin protection
276,L oreal Paris White Perfect Revitalift Anti-Wrinkle + Firming Day Cream SPF23/PA++ 50ml,L'Oreal Paris,งวัน ลดเลือนริ้วรอยและกระชับผิวใน 8 จุดสำคัญทั่วใบหน้าและลำคอ พร้อมปกป้องผิวจากแสงแดดด้วย SPF23/PA++,http://www.konvy.com/static/team/2016/0115/14528513677910.jpg,skin protection
277,L oreal Revitalift Magic Blur Instant Smoother Cream 50ml,L'Oreal Paris,เบลอริ้วรอยให้ผิวเนียนเรียบสดใส แลดูอ่อนเยาว์ ด้วยเทคโนโลยีล้ำสมัย Opti-Blur Technology เบลอรูขุมขนและริ้วรอยต่างๆ พร้อมฟื้นบำรุงผิวอย่างทรงประสิทธิภาพ,http://www.konvy.com/static/team/2016/0115/14528515515784.jpg,skin protection
278,L oreal UV Perfect Advanced Even Complexion Long UVA SPF50+/PA++++ 30ml,L'Oreal Paris,ครีมกันแดดสูตรคงประสิทธิภาพการปกป้องยาวนาน 12 ชั่วโมง เนื้อครีมน้ำนมสีพอร์ซเลนส์ ปรับสีผิวให้เรียบเนียนสม่ำเสมอ,http://www.konvy.com/static/team/2016/0121/14533599326673.jpg,skin protection
279,L Oreal White Perfect Clinical Derm White Essence Expert Anti-Spot Whitening 30ml,L'Oreal Paris,เอสเซนส์บำรุงผิวหน้า ช่วยให้ผิวกระจ่างใส ลดเลือนจุดด่างดำ ด้วย Derm White Technology นวัตกรรมล่าสุด ผสาน 3 ส่วนผสมทรงประสิทธิภาพ,http://www.konvy.com/static/team/2016/0607/14652911432924.jpg,skin protection
280,L Oreal White Perfect Clinical Day Cream SPF19/PA +++ Expert Anti-Spot Whitening 50ml,L'Oreal Paris,ครีมบำรุงผิวหน้า ช่วยให้ผิวกระจ่างใส ลดเลือนจุดด่างดำ ให้ความชุ่มชื่นและสบายผิว พร้อมกันแดดด้วยค่า SPF19/PA +++,http://www.konvy.com/static/team/2016/0607/14652908838376.jpg,skin protection
281,L Oreal White Perfect Clinical New Skin Essence-Lotion Original Fairness 175ml,L'Oreal Paris,โลชั่นเอสเซนส์แบบน้ำที่เข้มข้นที่สุด ช่วยให้ผิวกระจ่างใส ลดเลือนจุดด่างดำ และปรับให้ผิวเรียบเนียนอย่างอ่อนโยน,http://www.konvy.com/static/team/2016/0607/14652910602448.jpg,skin protection
282,L Oreal White Perfect Clinical Overnight Treatment Expert Anti-Spot Whitening 50ml,L'Oreal Paris,ครีมบำรุงผิวหน้า สูตรกลางคืน ด้วยสารสกัดเพื่อผิวกระจ่างใสถึง 3 ชนิด ช่วยลดความหมองคล้ำ ลดเลือนจุดด่างดำ และคืนผิวเนียนกระจ่างใส,http://www.konvy.com/static/team/2016/0607/14652909665385.jpg,skin protection
283,L oreal Paris Youth Code Youth Boosting Cream Day 50ml,L'Oreal Paris,นวัตกรรมเพื่อชุบชีวิตผิวที่อ่อนล้าและร่วงโรยจากวัยที่เพิ่มขึ้น ด้วย Pro-Gen Technology คืนความชุ่มชื่นและอ่อนเยาว์สู่ผิว ผลลัพธ์คือผิวเรียบเนียน กระจ่างใส ดูอ่อนเยาว์กว่าที่เคย,http://www.konvy.com/static/team/2015/1209/14496525414160.jpg,skin protection
